trait_id,author,r,resolution
X11,bodegom,0.2040506981443449,2
X14,moreno,0.1701915742670885,2
X14,schiller,0.3343150095512364,2
X50,butler,0.3557914069573017,2
X14,vallicrosa,0.2596256043498297,2
X11,butler,0.2684790804058864,2
X50,schiller,0.4992777000328988,2
X14,butler,0.2687095403767561,2
X50,boonman,0.3785821988085276,2
X14,boonman,0.1348113893272002,2
X50,vallicrosa,-0.0161463038580953,2
X11,schiller,0.3857936766988202,2
X11,boonman,0.3442971018054521,2
X11,madani,0.2298998919400871,2
X11,bodegom,0.2084803115297968,1
X14,moreno,0.2010128646556703,1
X14,schiller,0.3319324183409649,1
X50,butler,0.4055067311922106,1
X14,vallicrosa,0.3240568818365694,1
X11,butler,0.3424585464339797,1
X50,schiller,0.4535037229457945,1
X14,butler,0.3213028867683741,1
X50,boonman,0.3595115054740853,1
X14,boonman,0.0970053866085083,1
X50,vallicrosa,0.0129794747303073,1
X11,schiller,0.3870209211891121,1
X11,boonman,0.3221548450686779,1
X11,madani,0.2290364586240346,1
X11,bodegom,0.2306597816123358,5
X14,moreno,0.2409102350052155,5
X14,schiller,0.3291215571892989,5
X50,butler,0.4273007269531094,5
X14,vallicrosa,0.3435546870744583,5
X11,butler,0.3841629924293575,5
X50,schiller,0.445498248013902,5
X14,butler,0.3491438060035841,5
X50,boonman,0.3667321218009068,5
X14,boonman,0.0922843496607524,5
X50,vallicrosa,0.0030818906909949,5
X11,schiller,0.3915838387515432,5
X11,boonman,0.3297284905584998,5
X11,madani,0.2089625691047565,5
X14,moreno,0.2591826588388489,2
X14,moreno,0.22636163197595943,001
